id,name,code,website,headquarters,operator_type,description
equinix,Equinix,EQIX,https://www.equinix.com,"Redwood City, California, USA",Colocation,"Global digital infrastructure company operating over 240 IBX data centers across 5 continents, specializing in retail colocation and interconnection."
digital-realty,Digital Realty,DLR,https://www.digitalrealty.com,"Austin, Texas, USA",Colocation & Wholesale,"One of the largest global providers of data center, colocation, and interconnection solutions, operating over 300 facilities worldwide."
cyrusone,CyrusOne,CONE,https://cyrusone.com,"Dallas, Texas, USA",Wholesale & Colocation,"Specializes in highly reliable, enterprise-class, carrier-neutral data centers, serving many Fortune 1000 customers."
coresite,CoreSite,COR,https://www.coresite.com,"Denver, Colorado, USA",Colocation,"An American real estate investment trust that invests in carrier-neutral data centers, owned by American Tower."
ntt-gdc,NTT Global Data Centers,NTT,https://datacenter.hello.global.ntt,"London, UK / Tokyo, Japan",Colocation & Wholesale,"Part of NTT Ltd., operating one of the largest data center platforms globally across Europe, North America, Asia, and Africa."
qts,QTS Realty Trust,QTS,https://www.qtsdatacenters.com,"Overland Park, Kansas, USA",Wholesale & Colocation,"A leading provider of secure, compliant data center solutions, owned by Blackstone."
vantage,Vantage Data Centers,VANT,https://vantage-dc.com,"Denver, Colorado, USA",Wholesale,"Powers hyperscalers, cloud providers, and large enterprises with highly customized, scalable, and sustainable campus facilities."
edgeconnex,EdgeConneX,EDGX,https://www.edgeconnex.com,"Herndon, Virginia, USA",Edge & Wholesale,"Pioneered the 'Edge' data center model to deliver content and applications closer to users, operating over 50 markets globally."
iron-mountain,Iron Mountain Data Centers,IRM,https://www.ironmountain.com/data-centers,"Boston, Massachusetts, USA",Colocation,"Operates highly secure, compliant, and energy-efficient colocation data centers with a strong focus on enterprise records management integration."
flexential,Flexential,FLEX,https://www.flexential.com,"Charlotte, North Carolina, USA",Colocation & Hybrid IT,"Operates data centers across the US, offering colocation, cloud, connectivity, disaster recovery, and managed services."
compass,Compass Datacenters,COMP,https://www.compassdatacenters.com,"Dallas, Texas, USA",Wholesale,"Builds highly customized, dedicated wholesale data centers for cloud providers, network operators, and large enterprises."
sabey,Sabey Data Centers,SABY,https://sabeydatacenters.com,"Seattle, Washington, USA",Wholesale & Colocation,One of the largest privately-owned multi-tenant data center developers and operators in the United States.
aws,Amazon Web Services,AWS,https://aws.amazon.com,"Seattle, Washington, USA",Hyperscaler,"The world's most comprehensive and broadly adopted cloud platform, operating hundreds of proprietary data centers globally."
azure,Microsoft Azure,MSFT,https://azure.microsoft.com,"Redmond, Washington, USA",Hyperscaler,Global cloud computing platform with data centers spanning over 60 regions worldwide.
gcp,Google Cloud Platform,GCP,https://cloud.google.com,"Mountain View, California, USA",Hyperscaler,"Global scale cloud computing platform powered by Google's highly advanced, energy-efficient data center network."
